Tag,Url,HTTP Code,Redirected,New Url
GoToWebsiteUpdateIdea_zh, http://consumersupport.lenovo.com/zh/DriversDownloads/drivers.html, 404, 
GoToWebsiteUpdateIdea_en, http://consumersupport.lenovo.com/en/DriversDownloads/drivers.html, 404, 
GoToWebsiteUpdateIdea_es, http://consumersupport.lenovo.com/es/DriversDownloads/drivers.html, 404, 
GoToWebsiteUpdateIdea_en, http://consumersupport.lenovo.com/en/DriversDownloads/drivers.html, 404, 
ProductRegistrationServerAdress_ru, http://www.onlineregister.com/lenovo/REST/serial/ru, 404, 
ProductRegistrationServerAdress_fr, http://www.onlineregister.com/lenovo/REST/serial/fr, 404, 
ProductRegistrationServerAdress_en, http://www.onlineregister.com/lenovo/REST/serial/en, 404, 
ProductRegistrationServerAdress_en, http://www.onlineregister.com/lenovo/REST/serial/en, 404, 
ProductRegistrationServerAdress_pt, http://www.onlineregister.com/lenovo/REST/serial/pt, 404, 
ProductRegistrationServerAdress_en, http://www.onlineregister.com/lenovo/REST/serial/en, 404, 
ProductRegistrationServerAdress_zh, http://www.onlineregister.com/lenovo/REST/serial/zh, 404, 
ProductRegistrationServerAdress_de, http://www.onlineregister.com/lenovo/REST/serial/de, 404, 
ProductRegistrationServerAdress_ja, http://www.onlineregister.com/lenovo/REST/serial/ja, 404, 
ProductRegistrationServerAdress_it, http://www.onlineregister.com/lenovo/REST/serial/it, 404, 
ProductRegistrationServerAdress_en, http://www.onlineregister.com/lenovo/REST/serial/en, 404, 
ProductRegistrationServerAdress_zh, http://www.onlineregister.com/lenovo/REST/serial/zh, 404, 
ProductRegistrationServerAdress_ko, http://www.onlineregister.com/lenovo/REST/serial/ko, 404, 
ProductRegistrationServerAdress_pl, http://www.onlineregister.com/lenovo/REST/serial/pl, 404, 
ProductRegistrationServerAdress_pt, http://www.onlineregister.com/lenovo/REST/serial/pt, 404, 
ProductRegistrationServerAdress_zh, http://www.onlineregister.com/lenovo/REST/serial/zh, 404, 
ProductRegistrationServerAdress_en, http://www.onlineregister.com/lenovo/REST/serial/en, 404, 
ProductRegistrationServerAdress_es, http://www.onlineregister.com/lenovo/REST/serial/es, 301, 
